City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
62,Richards Bay,ZA,2020-08-23 17:19:41,-28.78,32.04,67.62,77,0,8.68,clear sky
63,Tuktoyaktuk,CA,2020-08-23 17:19:18,69.45,-133.04,57.2,76,40,11.41,scattered clouds
64,Leibnitz,AT,2020-08-23 17:20:37,46.78,15.54,72.0,74,92,2.17,light rain
65,Ler,SS,2020-08-23 17:20:38,8.3,30.14,75.2,91,100,4.25,overcast clouds
66,Bikaner,IN,2020-08-23 17:20:38,28.02,73.3,92.95,49,45,11.99,scattered clouds
67,Olafsvik,IS,2020-08-23 17:20:38,64.89,-23.71,52.39,64,33,7.58,scattered clouds
68,Samarai,PG,2020-08-23 17:20:39,-10.62,150.67,75.54,76,100,14.56,overcast clouds
69,Dharmadam,IN,2020-08-23 17:20:39,11.78,75.43,80.6,94,40,1.12,mist
70,Chokurdakh,RU,2020-08-23 17:19:50,70.63,147.92,32.0,98,96,8.23,overcast clouds
71,Jasper,US,2020-08-23 17:20:39,37.2,-94.35,88.0,48,1,11.41,clear sky
72,Butaritari,KI,2020-08-23 17:19:29,3.07,172.79,82.83,68,65,9.91,broken clouds
73,Launceston,AU,2020-08-23 17:20:40,-41.45,147.17,37.4,87,0,5.82,clear sky
74,Clarksburg,US,2020-08-23 17:20:40,39.28,-80.34,88.0,54,20,6.93,few clouds
75,Forest,US,2020-08-23 17:20:40,37.36,-79.29,88.0,58,1,5.82,clear sky
76,Vaini,TO,2020-08-23 17:19:18,-21.2,-175.2,73.4,94,20,8.05,few clouds
77,Bathsheba,BB,2020-08-23 17:19:44,13.22,-59.52,86.0,74,75,13.87,shower rain
78,Qaanaaq,GL,2020-08-23 17:19:56,77.48,-69.36,37.38,85,100,1.21,overcast clouds
79,Reconquista,AR,2020-08-23 17:20:41,-29.15,-59.65,70.79,37,0,13.2,clear sky
80,Jalu,LY,2020-08-23 17:19:52,29.03,21.55,91.67,19,0,9.4,clear sky
81,Port Blair,IN,2020-08-23 17:20:42,11.67,92.75,81.73,80,100,8.23,overcast clouds
82,Saint-Philippe,RE,2020-08-23 17:19:37,-21.36,55.77,71.6,72,25,4.7,scattered clouds
83,Grindavik,IS,2020-08-23 17:19:25,63.84,-22.43,55.4,58,87,8.05,overcast clouds
84,Alice Springs,AU,2020-08-23 17:20:42,-23.7,133.88,51.8,40,0,6.64,clear sky
85,Castro,BR,2020-08-23 17:16:45,-24.79,-50.01,58.14,68,33,10.85,scattered clouds
86,Torbay,CA,2020-08-23 17:19:47,47.67,-52.73,72.0,46,20,10.29,few clouds
87,Yeppoon,AU,2020-08-23 17:20:43,-23.13,150.73,44.6,81,28,6.96,scattered clouds
88,Silver City,US,2020-08-23 17:20:43,32.77,-108.28,87.8,20,1,5.82,clear sky
89,Kieta,PG,2020-08-23 17:20:43,-6.22,155.63,76.44,86,100,3.76,moderate rain
90,Te Anau,NZ,2020-08-23 17:20:43,-45.42,167.72,39.97,88,95,1.05,overcast clouds
91,Lircay,PE,2020-08-23 17:20:44,-12.99,-74.72,71.6,28,40,3.36,scattered clouds
92,Bethel,US,2020-08-23 17:17:26,41.37,-73.41,88.0,62,1,5.82,clear sky
93,Ribeira Grande,PT,2020-08-23 17:19:35,38.52,-28.7,77.0,88,40,6.93,scattered clouds
94,Cabo San Lucas,MX,2020-08-23 17:20:44,22.89,-109.91,89.6,55,40,6.93,scattered clouds
95,Esperance,AU,2020-08-23 17:19:34,-33.87,121.9,50.0,100,90,5.82,overcast clouds
96,Miri,MY,2020-08-23 17:20:06,4.41,114.01,75.2,94,40,3.36,light rain
97,Kodinsk,RU,2020-08-23 17:20:45,58.69,99.18,54.54,89,100,1.39,overcast clouds
98,Olinda,BR,2020-08-23 17:20:45,-8.01,-34.86,82.4,61,20,12.75,few clouds
99,Parana,AR,2020-08-23 17:20:45,-31.73,-60.52,72.0,28,0,8.01,clear sky
100,Longyearbyen,SJ,2020-08-23 17:19:50,78.22,15.64,48.2,63,20,10.29,few clouds
101,Usinsk,RU,2020-08-23 17:20:46,65.99,57.53,47.75,79,52,4.88,broken clouds
102,New Norfolk,AU,2020-08-23 17:20:46,-42.78,147.06,39.0,86,22,2.98,few clouds
103,Pangody,RU,2020-08-23 17:20:46,65.85,74.49,56.44,82,60,10.04,broken clouds
104,Pop,UZ,2020-08-23 17:20:47,40.87,71.11,77.0,38,0,9.17,clear sky
105,Sisimiut,GL,2020-08-23 17:20:47,66.94,-53.67,48.16,73,4,6.2,clear sky
106,Pontianak,ID,2020-08-23 17:20:47,-0.03,109.33,76.71,91,78,1.97,broken clouds
107,Kapaa,US,2020-08-23 17:16:22,22.08,-159.32,78.8,83,90,9.17,overcast clouds
108,Ennis,IE,2020-08-23 17:20:48,52.84,-8.99,60.8,77,75,14.99,broken clouds
109,Sao Filipe,CV,2020-08-23 17:20:48,14.9,-24.5,79.79,78,96,7.29,overcast clouds
110,Jibuti,DJ,2020-08-23 17:20:48,11.5,42.5,91.4,63,1,8.7,haze
111,Naze,JP,2020-08-23 17:20:03,28.37,129.48,84.2,83,75,8.05,broken clouds
112,Irbeyskoye,RU,2020-08-23 17:20:49,55.64,95.45,54.37,79,39,5.12,scattered clouds
113,Kifri,IQ,2020-08-23 17:20:40,34.7,44.97,84.88,19,0,7.05,clear sky
114,Yellowknife,CA,2020-08-23 17:19:39,62.46,-114.35,55.99,66,40,8.05,scattered clouds
115,Sinnamary,GF,2020-08-23 17:20:49,5.38,-52.95,85.78,67,3,9.64,light rain
116,Nanortalik,GL,2020-08-23 17:19:53,60.14,-45.24,47.32,78,4,3.0,clear sky
117,Plainview,US,2020-08-23 17:17:17,40.78,-73.47,82.99,74,1,10.29,clear sky
118,Ciudad Bolivar,VE,2020-08-23 17:20:50,8.12,-63.55,84.56,70,56,4.83,moderate rain
119,Mount Gambier,AU,2020-08-23 17:20:01,-37.83,140.77,39.2,93,90,4.7,overcast clouds
120,Kimbe,PG,2020-08-23 17:20:50,-5.55,150.14,73.24,93,100,1.88,moderate rain
121,High Rock,BS,2020-08-23 17:20:50,26.62,-78.28,89.6,75,75,17.22,broken clouds
122,Dunedin,NZ,2020-08-23 17:20:51,-45.87,170.5,48.99,96,100,4.0,light rain
123,Praxedis Guerrero,MX,2020-08-23 17:20:51,31.37,-106.02,90.0,27,5,5.06,clear sky
124,Hithadhoo,MV,2020-08-23 17:20:51,-0.6,73.08,82.45,78,42,12.3,moderate rain
125,East London,ZA,2020-08-23 17:19:47,-33.02,27.91,63.64,72,23,5.48,few clouds
126,Carmo Do Rio Claro,BR,2020-08-23 17:20:52,-20.97,-46.12,68.52,48,55,8.9,broken clouds
127,Pangnirtung,CA,2020-08-23 17:20:52,66.15,-65.71,42.8,93,75,10.29,broken clouds
128,Tilichiki,RU,2020-08-23 17:20:52,60.47,166.1,43.63,91,96,8.55,overcast clouds
129,Klaksvik,FO,2020-08-23 17:20:11,62.23,-6.59,48.2,76,85,16.11,light rain
130,Hasaki,JP,2020-08-23 17:20:53,35.73,140.83,75.2,94,40,4.7,scattered clouds
131,Ilulissat,GL,2020-08-23 17:20:53,69.22,-51.1,46.4,52,3,3.36,clear sky
132,Nanning,CN,2020-08-23 17:20:53,22.82,108.32,80.6,88,0,2.24,clear sky
133,Shuya,RU,2020-08-23 17:20:54,56.85,41.39,62.17,71,51,4.92,broken clouds
134,Oruro,BO,2020-08-23 17:20:54,-17.98,-67.15,57.02,32,0,9.13,clear sky
135,Georgetown,MY,2020-08-23 17:19:45,5.41,100.34,82.4,88,20,3.36,few clouds
136,Victor Harbor,AU,2020-08-23 17:20:54,-35.57,138.62,39.99,92,71,3.38,light rain
137,Sitka,US,2020-08-23 17:20:54,57.05,-135.33,55.4,93,90,3.36,light intensity drizzle
138,Cherskiy,RU,2020-08-23 17:19:34,68.75,161.3,38.28,94,100,13.82,overcast clouds
139,Kandrian,PG,2020-08-23 17:20:55,-6.22,149.55,77.11,83,100,11.56,moderate rain
140,Biltine,TD,2020-08-23 17:20:55,14.53,20.92,86.05,60,79,7.61,broken clouds
141,Osakarovka,KZ,2020-08-23 17:20:55,50.56,72.57,55.51,73,70,3.56,broken clouds
142,Touros,BR,2020-08-23 17:19:22,-5.2,-35.46,82.4,61,40,17.22,scattered clouds
143,Nchelenge,ZM,2020-08-23 17:20:12,-9.35,28.73,76.15,49,47,4.34,scattered clouds
144,Coquimbo,CL,2020-08-23 17:19:25,-29.95,-71.34,57.2,62,40,10.29,scattered clouds
145,Khani,GE,2020-08-23 17:20:56,41.96,42.96,69.8,83,75,8.05,thunderstorm
146,Mokhotlong,LS,2020-08-23 17:20:06,-29.29,29.07,49.57,40,0,5.93,clear sky
147,Airai,TL,2020-08-23 17:19:59,-8.93,125.41,57.02,37,60,4.14,broken clouds
148,Husavik,IS,2020-08-23 17:19:31,66.04,-17.34,51.8,71,97,6.93,overcast clouds
149,Fukue,JP,2020-08-23 17:20:57,32.69,128.84,82.13,70,0,1.97,clear sky
150,Gerede,TR,2020-08-23 17:20:57,40.8,32.2,57.96,88,4,3.2,clear sky
151,Charcas,MX,2020-08-23 17:20:57,23.13,-101.12,68.74,58,24,3.6,light rain
152,Pacific Grove,US,2020-08-23 17:18:26,36.62,-121.92,72.0,72,40,3.36,smoke
153,Cajabamba,PE,2020-08-23 17:20:58,-7.62,-78.05,66.47,36,14,6.2,few clouds
154,Lima,PE,2020-08-23 17:18:24,-12.04,-77.03,62.6,72,90,5.82,overcast clouds
155,Fuerte,PH,2020-08-23 17:20:58,17.54,120.36,80.53,79,91,8.05,overcast clouds
156,Clyde River,CA,2020-08-23 17:19:40,70.47,-68.59,43.07,88,100,8.03,overcast clouds
157,Fort Dodge,US,2020-08-23 17:20:59,42.5,-94.17,90.0,62,1,2.57,clear sky
158,Port Hardy,CA,2020-08-23 17:20:03,50.7,-127.42,53.6,93,90,2.24,overcast clouds
159,Oksfjord,NO,2020-08-23 17:20:59,70.24,22.35,60.8,77,75,10.29,broken clouds
160,Tiksi,RU,2020-08-23 17:19:12,71.69,128.87,37.67,79,84,10.18,broken clouds
161,Bichura,RU,2020-08-23 17:21:00,50.59,107.6,55.44,82,100,4.14,overcast clouds
