City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
639,Ndola,ZM,62.42,broken clouds,-12.96,28.64,Chabanga Lodge iSpot
640,Haines Junction,CA,53.26,overcast clouds,60.75,-137.51,Parkside Inn
642,Honiara,SB,73.4,broken clouds,-9.43,159.95,Heritage Park Hotel
644,Aksarka,RU,52.23,overcast clouds,66.56,67.8,
647,Waterfoot,GB,61.0,light rain,53.69,-2.25,MOUNTAIN VIEW INN
651,Talin,EE,62.6,few clouds,59.44,24.75,Radisson Blu Hotel Olümpia Tallinn
653,Newport,GB,64.0,overcast clouds,51.59,-3.0,ibis budget Newport
654,Mahanoro,MG,67.21,few clouds,-19.9,48.8,Hôtel Mon Désir
655,Yichun,CN,58.14,scattered clouds,47.7,128.9,锦江酒店
656,Moron,AR,64.99,clear sky,-34.65,-58.62,Hotel Morón
657,Grand Gaube,MU,72.0,few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
658,Petropavlovsk-Kamchatskiy,RU,50.0,light intensity shower rain,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
661,Havoysund,NO,57.2,broken clouds,71.0,24.66,Arctic View Glamping & Restaurant
