City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
164,Flinders,AU,51.01,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
165,Arraial Do Cabo,BR,73.4,scattered clouds,-22.97,-42.03,Pousada Porto Praia
166,Tura,IN,74.77,light rain,25.52,90.22,Hotel RIKMAN Continental
168,Yulara,AU,62.6,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
172,Mwinilunga,ZM,71.02,few clouds,-11.74,24.43,Kwakuwahi Lodge
173,La Libertad,EC,69.8,overcast clouds,-2.23,-80.9,Playa Canela Hotel Boutique
174,Fortuna,US,61.0,broken clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
177,Kruisfontein,ZA,59.0,few clouds,-34.0,24.73,Oyster Bay House Rental
181,Brae,GB,51.8,broken clouds,60.4,-1.35,Busta House Hotel
183,Xingcheng,CN,72.82,overcast clouds,40.62,120.72,New Century Hotel
184,Moose Factory,CA,57.2,clear sky,51.26,-80.61,Cree Village Eco Lodge
185,Kuito,AO,72.01,scattered clouds,-12.38,16.93,Herdeiros de Antunes Capusso
187,Sillod,IN,73.09,overcast clouds,20.3,75.65,पवन
191,Paso De Los Toros,UY,64.11,clear sky,-32.82,-56.52,Complejo Isabelino
193,Ucluelet,CA,62.01,broken clouds,48.93,-125.55,Black Rock Oceanfront Resort
194,Bambous Virieux,MU,72.0,few clouds,-20.34,57.76,Casa Tia Villa
195,Antofagasta,CL,57.2,overcast clouds,-23.65,-70.4,Hotel Terrado Suites Antofagasta
201,Alekseyevka,RU,65.26,clear sky,50.63,38.69,Apartment on Ploshchad Pobedy
202,Venancio Aires,BR,72.0,clear sky,-29.61,-52.19,Hotel Guest
203,Mareeba,AU,55.4,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
205,Tailai,CN,62.01,light rain,46.38,123.4,Pearl Garden Hotel
208,Port Alfred,ZA,59.49,clear sky,-33.59,26.89,The Halyards Hotel
209,Kichera,RU,56.1,light rain,55.94,110.1,
210,Kaeo,NZ,55.0,clear sky,-35.1,173.78,Bushido Lodge
212,Fuxin,CN,70.81,light rain,42.02,121.66,Xinya International Hotel
213,Bibai,JP,62.01,broken clouds,43.32,141.86,サトウ下宿
214,Puerto Ayora,EC,71.6,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
215,Kharp,RU,49.5,broken clouds,66.8,65.81,"Hotel ""Sob"""
218,Lebu,CL,51.06,light rain,-37.62,-73.65,Hostal Las Lilas
219,Asau,RO,72.0,clear sky,46.43,26.4,Casa Mika Ciobanus
220,Yar-Sale,RU,53.29,broken clouds,66.83,70.83,Yalemd
221,Hovd,MN,62.47,broken clouds,48.01,91.64,Hotel Khovd
224,Gold Coast,AU,55.99,clear sky,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
225,Pisco,PE,64.0,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
