City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Vardo,NO,2020-08-22 19:34:58,70.37,31.11,59.11,79,77,19.84
70,Berlevag,NO,2020-08-22 19:34:58,70.86,29.09,60.46,77,78,17.83
71,Tizimin,MX,2020-08-22 19:34:58,21.15,-88.15,84.76,82,100,5.75
72,Lompoc,US,2020-08-22 19:34:58,34.64,-120.46,82.4,54,1,11.41
73,Kaitangata,NZ,2020-08-22 19:34:59,-46.28,169.85,50.0,83,95,5.01
74,Lodja,CD,2020-08-22 19:34:59,-3.48,23.43,72.52,94,100,3.87
75,Hilo,US,2020-08-22 19:34:34,19.73,-155.09,82.4,69,20,5.82
76,Saldanha,ZA,2020-08-22 19:34:59,-33.01,17.94,55.4,82,0,4.7
77,Khatanga,RU,2020-08-22 19:34:59,71.97,102.5,48.27,76,0,7.25
78,San Angelo,US,2020-08-22 19:32:11,31.46,-100.44,93.0,31,1,8.05
79,Bengkulu,ID,2020-08-22 19:35:00,-3.8,102.27,75.85,89,93,3.69
80,Bethel,US,2020-08-22 19:31:30,41.37,-73.41,91.0,40,1,8.05
81,North Bend,US,2020-08-22 19:35:00,43.41,-124.22,73.99,68,1,14.99
82,Airai,TL,2020-08-22 19:35:01,-8.93,125.41,57.96,39,46,3.71
83,Derzhavinsk,KZ,2020-08-22 19:35:01,51.1,66.32,57.22,82,27,6.71
84,Faya,SA,2020-08-22 19:35:01,18.39,42.45,71.6,83,10,3.36
85,Grants,US,2020-08-22 19:35:01,35.15,-107.85,91.4,13,1,3.36
86,Yanam,IN,2020-08-22 19:35:01,16.73,82.22,78.76,92,90,4.94
87,Adre,TD,2020-08-22 19:35:02,13.47,22.2,70.07,92,100,14.74
88,Te Anau,NZ,2020-08-22 19:35:02,-45.42,167.72,40.5,88,100,0.6
89,Pisco,PE,2020-08-22 19:34:21,-13.7,-76.22,64.99,82,75,8.05
90,Pryozerne,UA,2020-08-22 19:35:03,45.27,36.33,73.49,65,75,9.26
91,Katangli,RU,2020-08-22 19:35:03,51.71,143.23,54.86,85,96,1.77
92,Sandwick,GB,2020-08-22 19:35:03,60.0,-1.25,55.4,93,2,8.05
93,Tucuman,AR,2020-08-22 19:35:03,-26.82,-65.22,71.6,17,0,16.11
94,Mahebourg,MU,2020-08-22 19:35:04,-20.41,57.7,69.8,83,40,11.41
95,Laguna,US,2020-08-22 19:35:04,38.42,-121.42,87.01,42,75,2.57
96,Aurora,US,2020-08-22 19:30:14,39.73,-104.83,95.0,8,20,9.17
97,San Patricio,MX,2020-08-22 19:35:04,19.22,-104.7,89.6,75,75,11.41
98,East London,ZA,2020-08-22 19:35:05,-33.02,27.91,67.03,36,0,5.46
99,Sangar,RU,2020-08-22 19:35:05,63.92,127.47,37.33,85,19,2.71
100,Yellowknife,CA,2020-08-22 19:35:05,62.46,-114.35,57.0,71,75,16.11
101,Acarau,BR,2020-08-22 19:32:29,-2.89,-40.12,81.16,67,1,17.4
102,Thompson,CA,2020-08-22 19:35:06,55.74,-97.86,48.2,81,90,8.05
103,Nanortalik,GL,2020-08-22 19:35:06,60.14,-45.24,48.61,67,44,2.42
104,Wawa,NG,2020-08-22 19:35:06,9.9,4.42,75.58,90,50,0.65
105,Sao Filipe,CV,2020-08-22 19:35:07,14.9,-24.5,79.18,77,28,2.93
106,Bajil,YE,2020-08-22 19:35:07,15.06,43.29,92.52,50,92,3.36
107,Saint George,US,2020-08-22 19:34:15,37.1,-113.58,99.0,30,1,4.7
108,Mayo,US,2020-08-22 19:35:07,38.89,-76.51,84.0,74,90,6.93
109,Thiruvananthapuram,IN,2020-08-22 19:35:07,8.48,76.92,82.4,88,20,4.7
110,Chabahar,IR,2020-08-22 19:35:08,25.29,60.64,82.15,84,62,7.7
111,Inuvik,CA,2020-08-22 19:35:08,68.35,-133.72,59.0,72,20,5.82
112,Christchurch,NZ,2020-08-22 19:30:14,-43.53,172.63,52.0,100,100,5.82
113,Venice,US,2020-08-22 19:35:08,27.1,-82.45,87.01,74,1,5.82
114,Fontenay-Le-Comte,FR,2020-08-22 19:35:09,46.58,-1.0,68.0,77,90,8.05
115,Kotra,IN,2020-08-22 19:35:09,25.82,79.32,79.27,82,88,12.44
116,Jalu,LY,2020-08-22 19:35:09,29.03,21.55,82.22,50,0,17.05
117,Sabzevar,IR,2020-08-22 19:35:09,36.21,57.68,83.46,15,0,11.39
118,Hambantota,LK,2020-08-22 19:35:10,6.12,81.12,80.6,94,75,6.93
119,Kenora,CA,2020-08-22 19:35:10,49.82,-94.43,78.8,74,75,9.17
120,Antofagasta,CL,2020-08-22 19:32:28,-23.65,-70.4,59.0,67,20,12.75
121,Inhambane,MZ,2020-08-22 19:35:10,-23.86,35.38,62.6,82,2,2.24
122,Noumea,NC,2020-08-22 19:35:05,-22.28,166.46,64.4,93,90,1.12
123,Miguel Hidalgo,MX,2020-08-22 19:35:11,19.42,-99.2,73.4,31,20,10.29
124,Hermanus,ZA,2020-08-22 19:35:11,-34.42,19.23,57.99,86,0,3.0
125,Lavrentiya,RU,2020-08-22 19:35:11,65.58,-171.0,46.17,95,100,8.39
126,Brae,GB,2020-08-22 19:35:11,60.4,-1.35,55.4,93,49,8.05
127,Waipawa,NZ,2020-08-22 19:35:12,-41.41,175.52,50.0,87,91,3.36
128,Donskoye,RU,2020-08-22 19:35:12,45.46,41.97,64.4,55,23,8.95
129,Tigre,AR,2020-08-22 19:35:12,-34.43,-58.58,64.99,18,0,14.99
130,Inirida,CO,2020-08-22 19:35:12,3.87,-67.92,78.22,84,92,2.73
131,Fairview,US,2020-08-22 19:35:13,40.81,-74.0,91.0,40,1,6.93
132,Iskateley,RU,2020-08-22 19:35:13,67.68,53.15,49.28,86,22,4.72
